ReviewID,ProductID,CustomerID,Rating,ReviewText,ReviewDate,datasource
REV-000077,PB-00132,CB-00866,4,"Okay for the price, gets the job done.",2024-04-14,store-b
REV-000078,PB-00204,CB-00902,5,"Average product, nothing special.",2025-04-29,store-b
REV-000079,PB-00002,CB-00784,2,Absolutely love it! Will buy again.,2025-02-01,store-b
REV-000080,PB-00389,CB-01136,4,"Perfect gift, the recipient loved it!",2024-09-24,store-b
REV-000081,PROD-A-00025,CUST-A-01981,5,"Excellent value for money, highly recommend!",2024-10-18,store-a
REV-000082,PROD-A-00450,CUST-A-01047,4,Decent product for everyday use.,2025-08-04,store-a
REV-000083,PROD-A-00021,CUST-A-01181,1,Absolutely love it! Will buy again.,2024-12-04,store-a
REV-000084,PROD-A-00383,CUST-A-01346,3,"Perfect gift, the recipient loved it!",2024-04-22,store-a
REV-000085,PROD-A-00359,CUST-A-00730,2,Quality could be better for the price.,2025-04-01,store-a
REV-000086,PB-00216,CB-00295,2,"Great product, exactly what I needed!",2025-05-19,store-b
REV-000087,PB-00091,CB-00603,3,"Average product, nothing special.",2024-04-04,store-b
REV-000088,PB-00180,CB-00525,2,Arrived on time and works perfectly.,2024-12-03,store-b
REV-000089,PROD-A-00437,CUST-A-01428,1,"Broke after two weeks, terrible quality.",2025-08-25,store-a
REV-000090,PROD-A-00104,CUST-A-01044,4,"Not as described, very disappointed.",2024-07-24,store-a
REV-000091,PB-00237,CB-01308,5,"Great product, exactly what I needed!",2025-05-09,store-b
REV-000092,PROD-A-00110,CUST-A-01252,4,"Okay for the price, gets the job done.",2024-01-23,store-a
REV-000093,PROD-A-00093,CUST-A-00062,1,Exceeded my expectations in every way.,2025-01-02,store-a
REV-000094,PROD-A-00499,CUST-A-00958,3,Absolutely love it! Will buy again.,2025-07-04,store-a
REV-000095,PROD-A-00079,CUST-A-01784,2,Good but shipping was too slow.,2025-01-06,store-a
REV-000096,PB-00031,CB-00473,5,"Okay for the price, gets the job done.",2025-12-19,store-b
REV-000097,PROD-A-00033,CUST-A-01358,5,Exceeded my expectations in every way.,2024-06-17,store-a
REV-000098,PROD-A-00184,CUST-A-01698,5,"Would not recommend, poor build quality.",2024-08-06,store-a
REV-000099,PROD-A-00285,CUST-A-00719,3,"Great product, exactly what I needed!",2025-07-12,store-a
REV-000100,PB-00049,CB-00178,5,"Not as described, very disappointed.",2025-01-09,store-b
REV-000101,PB-00154,CB-00922,4,"Not as described, very disappointed.",2024-04-27,store-b
REV-000102,PB-00059,CB-00983,4,Exceeded my expectations in every way.,2025-01-27,store-b
REV-000103,PB-00244,CB-00841,5,"Broke after two weeks, terrible quality.",2024-04-08,store-b
REV-000104,PROD-A-00379,CUST-A-00345,1,Decent product for everyday use.,2025-05-23,store-a
REV-000105,PROD-A-00240,CUST-A-00582,5,"Average product, nothing special.",2024-09-26,store-a
REV-000106,PROD-A-00338,CUST-A-01927,4,"Average product, nothing special.",2024-11-18,store-a
REV-000107,PROD-A-00235,CUST-A-01849,1,"Great product, exactly what I needed!",2024-01-28,store-a
REV-000108,PB-00071,CB-00512,5,Best purchase I've made this year!,2024-01-26,store-b
REV-000109,PROD-A-00434,CUST-A-01766,1,"Not as described, very disappointed.",2025-11-22,store-a
REV-000110,PROD-A-00437,CUST-A-00468,5,"Broke after two weeks, terrible quality.",2024-09-10,store-a
REV-000111,PROD-A-00313,CUST-A-00678,2,"Okay for the price, gets the job done.",2024-04-29,store-a
REV-000112,PB-00163,CB-00684,4,"Perfect gift, the recipient loved it!",2025-08-13,store-b
REV-000113,PB-00009,CB-00371,4,"Broke after two weeks, terrible quality.",2025-02-22,store-b
REV-000114,PROD-A-00156,CUST-A-00384,1,Best purchase I've made this year!,2024-02-06,store-a
REV-000115,PROD-A-00052,CUST-A-00349,1,"Average product, nothing special.",2025-05-17,store-a
REV-000116,PROD-A-00261,CUST-A-01148,4,Good but shipping was too slow.,2024-04-03,store-a
REV-000117,PB-00350,CB-00574,4,"Okay for the price, gets the job done.",2025-07-12,store-b
REV-000118,PROD-A-00099,CUST-A-01251,4,"Great product, exactly what I needed!",2024-05-18,store-a
REV-000119,PROD-A-00377,CUST-A-00946,2,Quality could be better for the price.,2024-06-15,store-a
REV-000120,PB-00073,CB-00552,3,"Okay for the price, gets the job done.",2024-04-27,store-b
REV-000121,PB-00212,CB-00755,5,"Excellent value for money, highly recommend!",2024-01-16,store-b
REV-000122,PROD-A-00163,CUST-A-00595,3,"Broke after two weeks, terrible quality.",2024-08-16,store-a
REV-000123,PROD-A-00423,CUST-A-00520,3,Arrived on time and works perfectly.,2025-10-27,store-a
REV-000124,PROD-A-00007,CUST-A-01139,4,Best purchase I've made this year!,2025-11-28,store-a
REV-000125,PROD-A-00191,CUST-A-01455,1,"Would not recommend, poor build quality.",2025-12-24,store-a
REV-000126,PROD-A-00031,CUST-A-01621,4,Decent product for everyday use.,2025-01-30,store-a
REV-000127,PROD-A-00217,CUST-A-01645,4,Arrived on time and works perfectly.,2024-05-06,store-a
REV-000128,PROD-A-00317,CUST-A-01663,1,Best purchase I've made this year!,2024-12-13,store-a
REV-000129,PROD-A-00317,CUST-A-00448,5,"Broke after two weeks, terrible quality.",2024-09-09,store-a
REV-000130,PB-00057,CB-00558,4,Quality could be better for the price.,2024-05-11,store-b
REV-000131,PB-00184,CB-00053,1,Good but shipping was too slow.,2025-08-21,store-b
REV-000132,PROD-A-00029,CUST-A-00282,3,Absolutely love it! Will buy again.,2024-04-22,store-a
REV-000133,PROD-A-00461,CUST-A-00564,5,Arrived on time and works perfectly.,2024-09-02,store-a
REV-000134,PB-00199,CB-01080,2,"Would not recommend, poor build quality.",2025-05-22,store-b
REV-000135,PB-00331,CB-00177,3,"Perfect gift, the recipient loved it!",2025-06-18,store-b
REV-000136,PROD-A-00232,CUST-A-01578,4,Absolutely love it! Will buy again.,2025-01-24,store-a
REV-000137,PB-00228,CB-00814,1,"Not as described, very disappointed.",2024-08-02,store-b
REV-000138,PROD-A-00039,CUST-A-01274,2,Absolutely love it! Will buy again.,2025-03-12,store-a
REV-000139,PROD-A-00113,CUST-A-00196,5,Arrived on time and works perfectly.,2025-06-20,store-a
REV-000140,PB-00396,CB-01202,3,"Perfect gift, the recipient loved it!",2025-05-31,store-b
REV-000141,PB-00086,CB-01062,2,Arrived on time and works perfectly.,2024-11-05,store-b
REV-000142,PROD-A-00464,CUST-A-01429,2,"Okay for the price, gets the job done.",2024-03-09,store-a
REV-000143,PB-00046,CB-00130,1,"Great product, exactly what I needed!",2025-03-01,store-b
REV-000144,PB-00296,CB-00550,4,"Excellent value for money, highly recommend!",2024-05-29,store-b
REV-000145,PB-00038,CB-00476,4,Best purchase I've made this year!,2024-01-17,store-b
REV-000146,PROD-A-00420,CUST-A-01746,4,Absolutely love it! Will buy again.,2025-02-17,store-a
REV-000147,PROD-A-00261,CUST-A-00738,1,Best purchase I've made this year!,2024-05-03,store-a
REV-000148,PROD-A-00237,CUST-A-00633,1,Good but shipping was too slow.,2025-09-24,store-a
REV-000149,PB-00311,CB-00199,3,Best purchase I've made this year!,2024-10-25,store-b
REV-000150,PROD-A-00097,CUST-A-00901,4,"Not as described, very disappointed.",2025-03-17,store-a
REV-000151,PROD-A-00325,CUST-A-00153,1,"Excellent value for money, highly recommend!",2025-03-15,store-a
REV-000152,PROD-A-00325,CUST-A-01799,3,"Excellent value for money, highly recommend!",2024-01-30,store-a
REV-000153,PROD-A-00313,CUST-A-01415,3,"Average product, nothing special.",2024-03-28,store-a
REV-000154,PROD-A-00208,CUST-A-01916,1,"Broke after two weeks, terrible quality.",2025-05-28,store-a
REV-000155,PROD-A-00488,CUST-A-00250,3,Best purchase I've made this year!,2025-01-29,store-a
REV-000156,PB-00300,CB-01366,1,"Okay for the price, gets the job done.",2025-08-06,store-b
REV-000157,PB-00280,CB-00773,3,"Not as described, very disappointed.",2025-11-17,store-b
REV-000158,PB-00157,CB-01139,2,"Perfect gift, the recipient loved it!",2024-08-13,store-b
REV-000159,PROD-A-00014,CUST-A-00802,4,"Great product, exactly what I needed!",2025-03-17,store-a
REV-000160,PB-00177,CB-00826,3,"Perfect gift, the recipient loved it!",2024-11-06,store-b
REV-000161,PROD-A-00085,CUST-A-00087,1,Good but shipping was too slow.,2024-08-22,store-a
REV-000162,PROD-A-00392,CUST-A-01042,3,"Okay for the price, gets the job done.",2024-01-10,store-a
REV-000163,PROD-A-00256,CUST-A-00804,3,"Broke after two weeks, terrible quality.",2025-11-29,store-a
REV-000164,PB-00354,CB-01055,3,Exceeded my expectations in every way.,2025-02-14,store-b
REV-000165,PB-00278,CB-01060,5,"Great product, exactly what I needed!",2025-03-06,store-b
REV-000166,PB-00202,CB-01408,5,Absolutely love it! Will buy again.,2025-03-23,store-b
REV-000167,PROD-A-00195,CUST-A-00018,5,Best purchase I've made this year!,2024-02-25,store-a
REV-000168,PROD-A-00111,CUST-A-00191,4,"Excellent value for money, highly recommend!",2024-07-26,store-a
REV-000169,PROD-A-00347,CUST-A-00700,3,"Not as described, very disappointed.",2025-04-23,store-a
REV-000170,PB-00061,CB-00365,3,Arrived on time and works perfectly.,2025-07-18,store-b
REV-000171,PROD-A-00379,CUST-A-00724,5,"Okay for the price, gets the job done.",2024-03-04,store-a
REV-000172,PROD-A-00163,CUST-A-00858,2,Absolutely love it! Will buy again.,2025-01-24,store-a
REV-000173,PB-00329,CB-00826,2,"Great product, exactly what I needed!",2025-08-21,store-b
REV-000174,PB-00065,CB-00201,5,"Perfect gift, the recipient loved it!",2025-03-08,store-b
REV-000175,PROD-A-00139,CUST-A-01613,2,"Perfect gift, the recipient loved it!",2025-07-26,store-a
REV-000176,PB-00376,CB-00341,2,Absolutely love it! Will buy again.,2024-05-04,store-b
REV-000177,PB-00172,CB-00319,5,"Great product, exactly what I needed!",2025-12-07,store-b
REV-000178,PROD-A-00357,CUST-A-00399,2,Absolutely love it! Will buy again.,2024-01-21,store-a
REV-000179,PB-00158,CB-00107,5,"Would not recommend, poor build quality.",2025-12-07,store-b
REV-000180,PB-00002,CB-00968,5,"Okay for the price, gets the job done.",2025-05-18,store-b
REV-000181,PROD-A-00483,CUST-A-00227,1,"Perfect gift, the recipient loved it!",2024-11-15,store-a
REV-000182,PROD-A-00164,CUST-A-00977,3,"Great product, exactly what I needed!",2024-03-01,store-a
REV-000183,PROD-A-00101,CUST-A-01514,5,Best purchase I've made this year!,2024-06-26,store-a
REV-000184,PROD-A-00489,CUST-A-01930,1,"Average product, nothing special.",2024-11-09,store-a
REV-000185,PROD-A-00096,CUST-A-01472,4,"Okay for the price, gets the job done.",2024-01-10,store-a
REV-000186,PB-00043,CB-01255,2,Arrived on time and works perfectly.,2024-03-12,store-b
REV-000187,PROD-A-00114,CUST-A-00982,3,"Perfect gift, the recipient loved it!",2024-04-26,store-a
REV-000188,PROD-A-00263,CUST-A-00516,4,"Broke after two weeks, terrible quality.",2024-11-21,store-a
REV-000189,PROD-A-00317,CUST-A-01433,1,Decent product for everyday use.,2025-11-20,store-a
REV-000190,PB-00395,CB-00931,4,Decent product for everyday use.,2024-04-26,store-b
REV-000191,PROD-A-00148,CUST-A-01716,1,"Excellent value for money, highly recommend!",2024-04-18,store-a
REV-000192,PROD-A-00008,CUST-A-00054,3,"Broke after two weeks, terrible quality.",2025-02-24,store-a
REV-000193,PROD-A-00094,CUST-A-01113,4,"Not as described, very disappointed.",2025-08-08,store-a
REV-000194,PROD-A-00247,CUST-A-00611,4,Good but shipping was too slow.,2025-03-19,store-a
REV-000195,PROD-A-00325,CUST-A-00221,5,"Okay for the price, gets the job done.",2024-02-04,store-a
REV-000196,PB-00264,CB-01122,2,Arrived on time and works perfectly.,2024-07-07,store-b
REV-000197,PROD-A-00137,CUST-A-01136,4,Good but shipping was too slow.,2025-11-21,store-a
REV-000198,PROD-A-00220,CUST-A-01162,1,Arrived on time and works perfectly.,2024-12-23,store-a
REV-000199,PROD-A-00204,CUST-A-00359,3,"Okay for the price, gets the job done.",2025-09-09,store-a
REV-000200,PROD-A-00306,CUST-A-00112,4,"Great product, exactly what I needed!",2025-01-27,store-a
REV-000201,PROD-A-00378,CUST-A-00754,2,Quality could be better for the price.,2025-11-30,store-a
REV-000202,PB-00355,CB-01206,5,Good but shipping was too slow.,2024-08-25,store-b
REV-000203,PB-00297,CB-01290,1,"Okay for the price, gets the job done.",2025-12-06,store-b
REV-000204,PROD-A-00384,CUST-A-00895,2,"Would not recommend, poor build quality.",2024-12-03,store-a
REV-000205,PROD-A-00076,CUST-A-00761,3,"Okay for the price, gets the job done.",2025-11-06,store-a
REV-000206,PROD-A-00058,CUST-A-00091,5,"Would not recommend, poor build quality.",2024-01-02,store-a
REV-000207,PROD-A-00047,CUST-A-00362,5,"Okay for the price, gets the job done.",2024-12-28,store-a
REV-000208,PROD-A-00044,CUST-A-00112,4,Arrived on time and works perfectly.,2025-01-26,store-a
REV-000209,PB-00156,CB-00613,2,Quality could be better for the price.,2024-09-25,store-b
REV-000210,PB-00242,CB-01003,1,"Okay for the price, gets the job done.",2024-09-20,store-b
REV-000211,PROD-A-00491,CUST-A-01332,5,"Would not recommend, poor build quality.",2024-06-01,store-a
REV-000212,PB-00194,CB-00078,4,Absolutely love it! Will buy again.,2025-06-10,store-b
REV-000213,PB-00248,CB-01355,1,"Okay for the price, gets the job done.",2024-07-29,store-b
REV-000214,PROD-A-00495,CUST-A-00129,4,Arrived on time and works perfectly.,2025-04-27,store-a
REV-000215,PROD-A-00339,CUST-A-01107,3,"Average product, nothing special.",2024-05-16,store-a
REV-000216,PB-00110,CB-00898,4,"Broke after two weeks, terrible quality.",2025-06-25,store-b
REV-000217,PROD-A-00452,CUST-A-01388,5,Good but shipping was too slow.,2025-07-15,store-a
REV-000218,PROD-A-00182,CUST-A-00895,4,"Perfect gift, the recipient loved it!",2024-11-10,store-a
REV-000219,PB-00222,CB-01326,2,"Perfect gift, the recipient loved it!",2025-04-29,store-b
REV-000220,PROD-A-00331,CUST-A-00474,3,"Okay for the price, gets the job done.",2025-04-06,store-a
REV-000221,PROD-A-00179,CUST-A-00996,5,Good but shipping was too slow.,2024-11-20,store-a
REV-000222,PB-00113,CB-01495,1,Quality could be better for the price.,2025-10-03,store-b
REV-000223,PROD-A-00295,CUST-A-01071,4,"Not as described, very disappointed.",2025-08-31,store-a
REV-000224,PROD-A-00253,CUST-A-01906,4,"Perfect gift, the recipient loved it!",2025-10-13,store-a
REV-000225,PB-00037,CB-01266,1,"Broke after two weeks, terrible quality.",2024-06-16,store-b
REV-000226,PROD-A-00016,CUST-A-00367,2,"Great product, exactly what I needed!",2024-12-07,store-a
REV-000227,PROD-A-00236,CUST-A-01576,4,"Okay for the price, gets the job done.",2025-03-10,store-a
REV-000228,PROD-A-00398,CUST-A-00678,2,"Perfect gift, the recipient loved it!",2025-01-08,store-a
REV-000229,PB-00109,CB-00302,4,Decent product for everyday use.,2025-04-06,store-b
REV-000230,PB-00360,CB-00821,1,Decent product for everyday use.,2025-08-24,store-b
REV-000231,PROD-A-00345,CUST-A-00028,5,Decent product for everyday use.,2025-10-04,store-a
REV-000232,PROD-A-00487,CUST-A-01929,5,Exceeded my expectations in every way.,2024-10-25,store-a
REV-000233,PB-00289,CB-00530,5,"Average product, nothing special.",2024-08-28,store-b
REV-000234,PB-00009,CB-01306,4,Best purchase I've made this year!,2024-03-10,store-b
REV-000235,PROD-A-00057,CUST-A-00412,4,"Would not recommend, poor build quality.",2024-08-01,store-a
REV-000236,PB-00207,CB-00204,5,Absolutely love it! Will buy again.,2024-02-08,store-b
REV-000237,PROD-A-00243,CUST-A-00294,1,"Excellent value for money, highly recommend!",2025-04-11,store-a
REV-000238,PROD-A-00165,CUST-A-00162,4,Good but shipping was too slow.,2024-03-22,store-a
REV-000239,PROD-A-00428,CUST-A-00020,2,Decent product for everyday use.,2025-09-13,store-a
REV-000240,PROD-A-00284,CUST-A-01479,3,Quality could be better for the price.,2024-11-29,store-a
REV-000241,PROD-A-00363,CUST-A-01714,4,Good but shipping was too slow.,2024-05-25,store-a
REV-000242,PB-00121,CB-00657,3,"Okay for the price, gets the job done.",2024-01-24,store-b
REV-000243,PROD-A-00447,CUST-A-01213,4,Quality could be better for the price.,2024-09-26,store-a
REV-000244,PROD-A-00429,CUST-A-00172,3,Good but shipping was too slow.,2024-10-15,store-a
REV-000245,PB-00066,CB-01028,1,Exceeded my expectations in every way.,2024-11-28,store-b
REV-000246,PROD-A-00106,CUST-A-01911,2,"Great product, exactly what I needed!",2025-06-05,store-a
REV-000247,PROD-A-00127,CUST-A-00426,1,"Okay for the price, gets the job done.",2025-11-23,store-a
REV-000248,PB-00258,CB-01390,4,Absolutely love it! Will buy again.,2025-07-17,store-b
REV-000249,PB-00143,CB-01102,3,"Broke after two weeks, terrible quality.",2025-04-15,store-b
REV-000250,PROD-A-00398,CUST-A-00198,3,"Okay for the price, gets the job done.",2025-04-09,store-a
REV-000251,PROD-A-00345,CUST-A-01201,2,"Excellent value for money, highly recommend!",2024-05-27,store-a
REV-000252,PROD-A-00289,CUST-A-00458,1,Arrived on time and works perfectly.,2024-05-31,store-a
REV-000253,PB-00139,CB-00870,1,"Would not recommend, poor build quality.",2024-12-24,store-b
REV-000254,PROD-A-00406,CUST-A-01387,4,"Not as described, very disappointed.",2025-07-03,store-a
REV-000255,PROD-A-00417,CUST-A-01898,2,Good but shipping was too slow.,2025-10-30,store-a
REV-000256,PB-00350,CB-00607,5,"Average product, nothing special.",2024-03-27,store-b
REV-000257,PB-00136,CB-00681,5,"Great product, exactly what I needed!",2025-11-04,store-b
REV-000258,PROD-A-00308,CUST-A-00115,1,Arrived on time and works perfectly.,2025-08-04,store-a
REV-000259,PROD-A-00468,CUST-A-00414,2,Exceeded my expectations in every way.,2024-05-18,store-a
REV-000260,PROD-A-00078,CUST-A-01439,2,"Okay for the price, gets the job done.",2024-04-01,store-a
REV-000261,PB-00162,CB-00001,3,"Average product, nothing special.",2025-03-17,store-b
REV-000262,PROD-A-00348,CUST-A-00532,2,"Okay for the price, gets the job done.",2025-09-09,store-a
REV-000263,PROD-A-00028,CUST-A-00377,2,Best purchase I've made this year!,2024-04-11,store-a
REV-000264,PROD-A-00410,CUST-A-00662,2,Decent product for everyday use.,2025-06-15,store-a
REV-000265,PB-00170,CB-00347,2,"Great product, exactly what I needed!",2025-09-11,store-b
REV-000266,PROD-A-00180,CUST-A-00494,2,Good but shipping was too slow.,2024-02-27,store-a
REV-000267,PROD-A-00260,CUST-A-00327,4,"Would not recommend, poor build quality.",2025-11-02,store-a
REV-000268,PB-00163,CB-01468,2,Good but shipping was too slow.,2024-09-14,store-b
REV-000269,PB-00387,CB-00730,1,"Would not recommend, poor build quality.",2025-11-14,store-b
REV-000270,PROD-A-00475,CUST-A-00598,5,Quality could be better for the price.,2024-04-07,store-a
REV-000271,PROD-A-00304,CUST-A-00903,1,"Excellent value for money, highly recommend!",2024-07-18,store-a
REV-000272,PB-00340,CB-00766,4,Best purchase I've made this year!,2024-10-11,store-b
REV-000273,PROD-A-00438,CUST-A-01340,4,"Great product, exactly what I needed!",2025-12-11,store-a
REV-000274,PB-00021,CB-00059,5,"Perfect gift, the recipient loved it!",2024-01-10,store-b
REV-000275,PB-00264,CB-01001,1,"Broke after two weeks, terrible quality.",2024-02-01,store-b
REV-000276,PROD-A-00033,CUST-A-01590,1,Best purchase I've made this year!,2024-05-19,store-a
REV-000277,PROD-A-00484,CUST-A-01069,1,Arrived on time and works perfectly.,2024-08-01,store-a
REV-000278,PROD-A-00490,CUST-A-00062,2,"Great product, exactly what I needed!",2024-11-04,store-a
REV-000279,PROD-A-00205,CUST-A-00529,4,"Broke after two weeks, terrible quality.",2025-03-25,store-a
REV-000280,PB-00120,CB-01429,1,Best purchase I've made this year!,2024-05-07,store-b
REV-000281,PROD-A-00096,CUST-A-01768,5,Arrived on time and works perfectly.,2024-03-16,store-a
REV-000282,PROD-A-00346,CUST-A-01302,3,Decent product for everyday use.,2024-03-22,store-a
REV-000283,PB-00020,CB-01265,2,"Perfect gift, the recipient loved it!",2025-10-27,store-b
REV-000284,PB-00218,CB-00046,1,"Not as described, very disappointed.",2025-10-28,store-b
REV-000285,PROD-A-00026,CUST-A-00369,4,Good but shipping was too slow.,2024-09-28,store-a
REV-000286,PROD-A-00280,CUST-A-00907,3,Best purchase I've made this year!,2024-02-22,store-a
REV-000287,PB-00350,CB-01233,5,Quality could be better for the price.,2024-02-11,store-b
